Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,MPI (4),0.030471,2997
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,CUDA,0.530651,2997
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,Sequential,0.089959,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,MPI (4),0.030268,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,CUDA,0.532878,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,Sequential,0.089881,3782
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,MPI (4),0.030428,3782
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,CUDA,0.526898,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,Sequential,0.089668,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,MPI (4),0.030229,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,CUDA,0.529924,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,Sequential,0.08993,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,MPI (4),0.030814,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,CUDA,0.535933,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,Sequential,0.089586,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,MPI (4),0.030355,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,CUDA,0.531823,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,Sequential,0.089989,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,MPI (4),0.031581,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,CUDA,0.529071,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,Sequential,0.089832,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,MPI (4),0.030123,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,CUDA,0.53638,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,Sequential,0.089966,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,MPI (4),0.030185,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,CUDA,0.535139,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,Sequential,0.089822,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,MPI (4),0.030475,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,CUDA,0.548588,8535
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,Sequential,0.089882,9588
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,MPI (4),0.03019,9588
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,CUDA,0.537963,9588
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,Sequential,0.089692,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,MPI (4),0.030394,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,CUDA,0.536684,10770
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,Sequential,0.090036,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,MPI (4),0.030473,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,CUDA,0.541802,12098
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,Sequential,0.090001,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,MPI (4),0.030185,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,CUDA,0.547999,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,Sequential,0.089984,15266
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,MPI (4),0.030395,15266
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,CUDA,0.542285,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,Sequential,0.089442,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,MPI (4),0.030138,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,CUDA,0.545877,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,Sequential,0.089974,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,MPI (4),0.030185,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,CUDA,0.542986,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,Sequential,0.089674,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,MPI (4),0.030376,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,CUDA,0.539866,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,Sequential,0.089633,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,MPI (4),0.030248,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,CUDA,0.542464,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,Sequential,0.089751,27306
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,MPI (4),0.03039,27306
